time,host,worker_type,status,worker_id
2026-07-16 13:02:15,pbs,prune,OK,backup-store::ct/102
2026-07-16 13:02:18,pbs,backup,OK,backup-store:ct/103
2026-07-16 13:02:43,pbs,prune,OK,backup-store::ct/103
2026-07-16 13:02:45,pbs,backup,OK,backup-store:ct/104
2026-07-16 13:04:13,pbs,prune,OK,backup-store::ct/104
2026-07-16 13:04:14,pbs,backup,OK,backup-store:vm/105
2026-07-16 13:04:22,pbs,prune,OK,backup-store::vm/105
2026-07-16 13:04:24,pbs,backup,OK,backup-store:ct/106
2026-07-16 13:04:44,pbs,prune,OK,backup-store::ct/106
2026-07-16 13:30:09,pbs,backup,OK,backup-store:ct/107
2026-07-16 13:30:21,pbs,prune,OK,backup-store::ct/107
2026-07-16 13:30:29,pbs,backup,OK,backup-store:ct/108
2026-07-16 13:30:40,pbs,prune,OK,backup-store::ct/108
2026-07-16 22:00:00,pbs,logrotate,OK,
2026-07-16 22:00:00,pbs,verificationjob,OK,backup-store:v-b5f91a7c-6660
2026-07-16 23:55:32,pbs,aptupdate,OK,
2026-07-17 01:30:35,pbs,backup,OK,pbs-copy:ct/101
2026-07-17 01:32:01,pbs,prune,OK,pbs-copy::ct/101
2026-07-17 11:07:16,pbs,backup,OK,pbs-copy:ct/101
2026-07-17 11:08:35,pbs,prune,OK,pbs-copy::ct/101
2026-07-17 11:52:00,pbs,backup,"removing backup snapshot ""/mnt/truenas-pbs-copy/ct/101/2026-07-17T11:51:59Z"" failed - Directory not empty (os error 39)",pbs-copy:ct/101
2026-07-17 13:00:07,pbs,backup,OK,backup-store:ct/101
2026-07-17 13:00:08,pbs,backup,OK,backup-store:vm/100
2026-07-17 13:00:41,pbs,prune,OK,backup-store::vm/100
2026-07-17 13:02:11,pbs,prune,OK,backup-store::ct/101
2026-07-17 13:02:14,pbs,backup,OK,backup-store:ct/102
2026-07-17 13:03:07,pbs,prune,OK,backup-store::ct/102
2026-07-17 13:03:09,pbs,backup,OK,backup-store:ct/103
